name,AP,AP50,AP75,APs,APm,APl,ARmax1,ARmax10,ARmax100,ARs,ARm,ARl,AP_/option1,AP_/option2,AP_/option3,AP_/option4,AP_/punch,AP_/thumb,AP_/ok,AP_/back
EfficientNet-Lite0,0.8252863,0.9416739,0.914654,-1.0,-1.0,0.8253578,0.82625,0.885,0.885,-1.0,-1.0,0.885,0.7087984,0.85263634,0.9021645,0.7733878,0.89384556,0.8190582,0.7526629,0.89973706
EfficientNet-Lite1,0.8337193,0.93858576,0.9255801,-1.0,-1.0,0.8337506,0.84125,0.88,0.88,-1.0,-1.0,0.88,0.683847,0.88074094,0.90330034,0.71971965,0.8804275,0.8806569,0.8031568,0.9179054
EfficientNet-Lite3,0.863767,0.9488871,0.9473072,-1.0,-1.0,0.8637988,0.875,0.90125,0.90125,-1.0,-1.0,0.90125,0.6926246,0.8728021,0.91400284,0.8374487,0.8712871,0.9346063,0.8497638,0.9376008
EfficientNet-Lite2,0.8695503,0.956028,0.9529703,-1.0,-1.0,0.8695527,0.88090277,0.8980903,0.8980903,-1.0,-1.0,0.8980903,0.69825244,0.88044554,0.89713126,0.81905943,0.90759075,0.92245877,0.9084653,0.9229986
EfficientNet-Lite4,0.87388265,0.95074505,0.94710094,-1.0,-1.0,0.87419176,0.88875,0.91375,0.91375,-1.0,-1.0,0.91375,0.73187566,0.89383084,0.9297305,0.75427866,0.9247903,0.9393666,0.9440865,0.8731023
